severity,type,id,detail,files
High,MissingFields,merge-body-s01,"Missing: chapter, pov, date, location",merge-body
High,MissingFields,pr_body-s01,"Missing: chapter, pov, date, location",pr_body
High,MissingFields,readme-s01,"Missing: chapter, pov, date, location",readme
High,MissingFields,release-notes-s01,"Missing: chapter, pov, date, location",release-notes
High,MissingFields,release-s01,"Missing: chapter, pov, date, location",release
High,MissingFields,sec-01-front - front matter & executive summary-s01,"Missing: chapter, pov, location",sec-01-front - front matter & executive summary
High,MissingFields,sec-02-pillars - pillars & audience-s01,"Missing: chapter, pov, location",sec-02-pillars - pillars & audience
High,MissingFields,sec-03-narrative - narrative-s01,"Missing: chapter, pov, location",sec-03-narrative - narrative
High,MissingFields,sec-03_3.2_chapter_list_replace-s01,"Missing: chapter, pov, date, location",sec-03_3.2_chapter_list_replace
High,MissingFields,sec-04-loops - core gameplay loops-s01,"Missing: chapter, pov, location",sec-04-loops - core gameplay loops
High,MissingFields,sec-05-systems - systems & mechanics-s01,"Missing: chapter, pov, location",sec-05-systems - systems & mechanics
High,MissingFields,"sec-06-world - world, levels, & content-s01","Missing: chapter, pov, location","sec-06-world - world, levels, & content"
High,MissingFields,"sec-07-ui - ui-ux (devices, hud, menus)-s01","Missing: chapter, pov, location","sec-07-ui - ui-ux (devices, hud, menus)"
High,MissingFields,sec-08-artaudio - art direction & audio-s01,"Missing: chapter, pov, location",sec-08-artaudio - art direction & audio
High,MissingFields,sec-09-tech - technology & performance targets-s01,"Missing: chapter, pov, location",sec-09-tech - technology & performance targets
High,MissingFields,sec-10-production - production plan & milestones-s01,"Missing: chapter, pov, location",sec-10-production - production plan & milestones
High,MissingFields,"sec-11-qa - qa, localization, accessibility-s01","Missing: chapter, pov, location","sec-11-qa - qa, localization, accessibility"
High,MissingFields,"sec-12-risks - risks, legal, ratings-s01","Missing: chapter, pov, location","sec-12-risks - risks, legal, ratings"
High,MissingFields,sec-13-appendices - appendices-s01,"Missing: chapter, pov, location",sec-13-appendices - appendices
High,MissingFields,sec-14-qa - quality assurance test plan-s01,"Missing: chapter, pov, location",sec-14-qa - quality assurance test plan
High,MissingFields,sec-epilogue-s01,"Missing: chapter, pov, date, location",sec-epilogue
High,MissingFields,tdd-evidence+fieldpad - technical design document-s01,"Missing: chapter, pov, location",tdd-evidence+fieldpad - technical design document
High,MissingFields,readme_pr_commenter-s01,"Missing: chapter, pov, date, location",readme_pr_commenter
High,MissingFields,corkboard_department_ack_macro-s01,"Missing: chapter, pov, date, location",corkboard_department_ack_macro
High,MissingFields,department_charters_pack-s01,"Missing: chapter, pov, location",department_charters_pack
High,MissingFields,department_macros_guide-s01,"Missing: chapter, pov, date, location",department_macros_guide
High,MissingFields,mail_department_dashboard-s01,"Missing: chapter, pov, date, location",mail_department_dashboard
High,MissingFields,optimization_macro_departments_subcontractors-s01,"Missing: chapter, pov, date, location",optimization_macro_departments_subcontractors
High,MissingFields,org_notice_department_leads-s01,"Missing: chapter, pov, date, location",org_notice_department_leads
High,MissingFields,project_workspace_instructions-s01,"Missing: chapter, pov, date, location",project_workspace_instructions
High,MissingFields,repodirs-s01,"Missing: chapter, pov, date, location",repodirs
High,MissingFields,archive_pack_20250816-1022_ci_epilogue-asserts-s01,"Missing: chapter, pov, date, location",archive_pack_20250816-1022_ci_epilogue-asserts
High,MissingFields,archive_pack_gdd_rebuild_2025-08-16_0809et-s01,"Missing: chapter, pov, date, location",archive_pack_gdd_rebuild_2025-08-16_0809et
High,MissingFields,archive_pack_gdd_rebuild_2025-08-16_1831et-s01,"Missing: chapter, pov, location",archive_pack_gdd_rebuild_2025-08-16_1831et
High,MissingFields,archive_release_notes_v_0-s01,"Missing: chapter, pov, date, location",archive_release_notes_v_0
High,MissingFields,release_notes_v0.1-docs-structure-s01,"Missing: chapter, pov, date, location",release_notes_v0.1-docs-structure
High,MissingFields,repo_snapshot-s01,"Missing: chapter, pov, date, location",repo_snapshot
High,MissingFields,enemy systems department — notes (archived 2025-08-17)-s01,"Missing: chapter, pov, location",enemy systems department — notes (archived 2025-08-17)
High,MissingFields,statblocks & enemies department — charter (archived 2025-08-17)-s01,"Missing: chapter, pov, location",statblocks & enemies department — charter (archived 2025-08-17)
High,MissingFields,diplomagic_gdd_combined-s01,"Missing: chapter, pov, location",diplomagic_gdd_combined
High,MissingFields,sec-01-front - front matter & executive summary-s01,"Missing: chapter, pov, location",sec-01-front - front matter & executive summary
High,MissingFields,sec-02-pillars - pillars & audience-s01,"Missing: chapter, pov, location",sec-02-pillars - pillars & audience
High,MissingFields,sec-03-narrative - narrative-s01,"Missing: chapter, pov, location",sec-03-narrative - narrative
High,MissingFields,sec-03_3.2_chapter_list_replace-s01,"Missing: chapter, pov, date, location",sec-03_3.2_chapter_list_replace
High,MissingFields,sec-04-loops - core gameplay loops-s01,"Missing: chapter, pov, location",sec-04-loops - core gameplay loops
High,MissingFields,sec-05-systems - systems & mechanics-s01,"Missing: chapter, pov, location",sec-05-systems - systems & mechanics
High,MissingFields,"sec-06-world - world, levels, & content-s01","Missing: chapter, pov, location","sec-06-world - world, levels, & content"
High,MissingFields,"sec-07-ui - ui-ux (devices, hud, menus)-s01","Missing: chapter, pov, location","sec-07-ui - ui-ux (devices, hud, menus)"
High,MissingFields,sec-08-artaudio - art direction & audio-s01,"Missing: chapter, pov, location",sec-08-artaudio - art direction & audio
High,MissingFields,sec-09-tech - technology & performance targets-s01,"Missing: chapter, pov, location",sec-09-tech - technology & performance targets
High,MissingFields,sec-10-production - production plan & milestones-s01,"Missing: chapter, pov, location",sec-10-production - production plan & milestones
High,MissingFields,"sec-11-qa - qa, localization, accessibility-s01","Missing: chapter, pov, location","sec-11-qa - qa, localization, accessibility"
High,MissingFields,"sec-12-risks - risks, legal, ratings-s01","Missing: chapter, pov, location","sec-12-risks - risks, legal, ratings"
High,MissingFields,sec-13-appendices - appendices-s01,"Missing: chapter, pov, location",sec-13-appendices - appendices
High,MissingFields,sec-14-qa - quality assurance test plan-s01,"Missing: chapter, pov, location",sec-14-qa - quality assurance test plan
High,MissingFields,diplomagic_gdd_combined-s01,"Missing: chapter, pov, location",diplomagic_gdd_combined
High,MissingFields,sec-01-front - front matter & executive summary-s01,"Missing: chapter, pov, location",sec-01-front - front matter & executive summary
High,MissingFields,sec-02-pillars - pillars & audience-s01,"Missing: chapter, pov, location",sec-02-pillars - pillars & audience
High,MissingFields,sec-03-narrative - narrative-s01,"Missing: chapter, pov, location",sec-03-narrative - narrative
High,MissingFields,sec-03_3.2_chapter_list_replace-s01,"Missing: chapter, pov, date, location",sec-03_3.2_chapter_list_replace
High,MissingFields,sec-04-loops - core gameplay loops-s01,"Missing: chapter, pov, location",sec-04-loops - core gameplay loops
High,MissingFields,sec-05-systems - systems & mechanics-s01,"Missing: chapter, pov, location",sec-05-systems - systems & mechanics
High,MissingFields,"sec-06-world - world, levels, & content-s01","Missing: chapter, pov, location","sec-06-world - world, levels, & content"
High,MissingFields,"sec-07-ui - ui-ux (devices, hud, menus)-s01","Missing: chapter, pov, location","sec-07-ui - ui-ux (devices, hud, menus)"
High,MissingFields,sec-08-artaudio - art direction & audio-s01,"Missing: chapter, pov, location",sec-08-artaudio - art direction & audio
High,MissingFields,sec-09-tech - technology & performance targets-s01,"Missing: chapter, pov, location",sec-09-tech - technology & performance targets
High,MissingFields,sec-10-production - production plan & milestones-s01,"Missing: chapter, pov, location",sec-10-production - production plan & milestones
High,MissingFields,"sec-11-qa - qa, localization, accessibility-s01","Missing: chapter, pov, location","sec-11-qa - qa, localization, accessibility"
High,MissingFields,"sec-12-risks - risks, legal, ratings-s01","Missing: chapter, pov, location","sec-12-risks - risks, legal, ratings"
High,MissingFields,sec-13-appendices - appendices-s01,"Missing: chapter, pov, location",sec-13-appendices - appendices
High,MissingFields,sec-14-qa - quality assurance test plan-s01,"Missing: chapter, pov, location",sec-14-qa - quality assurance test plan
High,MissingFields,diplomagic_gdd_combined-s01,"Missing: chapter, pov, location",diplomagic_gdd_combined
High,MissingFields,sec-01-front - front matter & executive summary-s01,"Missing: chapter, pov, location",sec-01-front - front matter & executive summary
High,MissingFields,sec-02-pillars - pillars & audience-s01,"Missing: chapter, pov, location",sec-02-pillars - pillars & audience
High,MissingFields,sec-03-narrative - narrative-s01,"Missing: chapter, pov, location",sec-03-narrative - narrative
High,MissingFields,sec-03_3.2_chapter_list_replace-s01,"Missing: chapter, pov, date, location",sec-03_3.2_chapter_list_replace
High,MissingFields,sec-04-loops - core gameplay loops-s01,"Missing: chapter, pov, location",sec-04-loops - core gameplay loops
High,MissingFields,sec-05-systems - systems & mechanics-s01,"Missing: chapter, pov, location",sec-05-systems - systems & mechanics
High,MissingFields,"sec-06-world - world, levels, & content-s01","Missing: chapter, pov, location","sec-06-world - world, levels, & content"
High,MissingFields,"sec-07-ui - ui-ux (devices, hud, menus)-s01","Missing: chapter, pov, location","sec-07-ui - ui-ux (devices, hud, menus)"
High,MissingFields,sec-08-artaudio - art direction & audio-s01,"Missing: chapter, pov, location",sec-08-artaudio - art direction & audio
High,MissingFields,sec-09-tech - technology & performance targets-s01,"Missing: chapter, pov, location",sec-09-tech - technology & performance targets
High,MissingFields,sec-10-production - production plan & milestones-s01,"Missing: chapter, pov, location",sec-10-production - production plan & milestones
High,MissingFields,"sec-11-qa - qa, localization, accessibility-s01","Missing: chapter, pov, location","sec-11-qa - qa, localization, accessibility"
High,MissingFields,"sec-12-risks - risks, legal, ratings-s01","Missing: chapter, pov, location","sec-12-risks - risks, legal, ratings"
High,MissingFields,sec-13-appendices - appendices-s01,"Missing: chapter, pov, location",sec-13-appendices - appendices
High,MissingFields,sec-14-qa - quality assurance test plan-s01,"Missing: chapter, pov, location",sec-14-qa - quality assurance test plan
High,MissingFields,diplomagic_gdd_combined-s01,"Missing: chapter, pov, location",diplomagic_gdd_combined
High,MissingFields,sec-01-front - front matter & executive summary-s01,"Missing: chapter, pov, location",sec-01-front - front matter & executive summary
High,MissingFields,sec-02-pillars - pillars & audience-s01,"Missing: chapter, pov, location",sec-02-pillars - pillars & audience
High,MissingFields,sec-03-narrative - narrative-s01,"Missing: chapter, pov, location",sec-03-narrative - narrative
High,MissingFields,sec-03_3.2_chapter_list_replace-s01,"Missing: chapter, pov, date, location",sec-03_3.2_chapter_list_replace
High,MissingFields,sec-04-loops - core gameplay loops-s01,"Missing: chapter, pov, location",sec-04-loops - core gameplay loops
High,MissingFields,sec-05-systems - systems & mechanics-s01,"Missing: chapter, pov, location",sec-05-systems - systems & mechanics
High,MissingFields,"sec-06-world - world, levels, & content-s01","Missing: chapter, pov, location","sec-06-world - world, levels, & content"
High,MissingFields,"sec-07-ui - ui-ux (devices, hud, menus)-s01","Missing: chapter, pov, location","sec-07-ui - ui-ux (devices, hud, menus)"
High,MissingFields,sec-08-artaudio - art direction & audio-s01,"Missing: chapter, pov, location",sec-08-artaudio - art direction & audio
High,MissingFields,sec-09-tech - technology & performance targets-s01,"Missing: chapter, pov, location",sec-09-tech - technology & performance targets
High,MissingFields,sec-10-production - production plan & milestones-s01,"Missing: chapter, pov, location",sec-10-production - production plan & milestones
High,MissingFields,"sec-11-qa - qa, localization, accessibility-s01","Missing: chapter, pov, location","sec-11-qa - qa, localization, accessibility"
High,MissingFields,"sec-12-risks - risks, legal, ratings-s01","Missing: chapter, pov, location","sec-12-risks - risks, legal, ratings"
High,MissingFields,sec-13-appendices - appendices-s01,"Missing: chapter, pov, location",sec-13-appendices - appendices
High,MissingFields,sec-14-qa - quality assurance test plan-s01,"Missing: chapter, pov, location",sec-14-qa - quality assurance test plan
High,MissingFields,diplomagic_gdd_combined-s01,"Missing: chapter, pov, location",diplomagic_gdd_combined
High,MissingFields,sec-01-front - front matter & executive summary-s01,"Missing: chapter, pov, location",sec-01-front - front matter & executive summary
High,MissingFields,sec-02-pillars - pillars & audience-s01,"Missing: chapter, pov, location",sec-02-pillars - pillars & audience
High,MissingFields,sec-03-narrative - narrative-s01,"Missing: chapter, pov, location",sec-03-narrative - narrative
High,MissingFields,sec-03_3.2_chapter_list_replace-s01,"Missing: chapter, pov, date, location",sec-03_3.2_chapter_list_replace
High,MissingFields,sec-04-loops - core gameplay loops-s01,"Missing: chapter, pov, location",sec-04-loops - core gameplay loops
High,MissingFields,sec-05-systems - systems & mechanics-s01,"Missing: chapter, pov, location",sec-05-systems - systems & mechanics
High,MissingFields,"sec-06-world - world, levels, & content-s01","Missing: chapter, pov, location","sec-06-world - world, levels, & content"
High,MissingFields,"sec-07-ui - ui-ux (devices, hud, menus)-s01","Missing: chapter, pov, location","sec-07-ui - ui-ux (devices, hud, menus)"
High,MissingFields,sec-08-artaudio - art direction & audio-s01,"Missing: chapter, pov, location",sec-08-artaudio - art direction & audio
High,MissingFields,sec-09-tech - technology & performance targets-s01,"Missing: chapter, pov, location",sec-09-tech - technology & performance targets
High,MissingFields,sec-10-production - production plan & milestones-s01,"Missing: chapter, pov, location",sec-10-production - production plan & milestones
High,MissingFields,"sec-11-qa - qa, localization, accessibility-s01","Missing: chapter, pov, location","sec-11-qa - qa, localization, accessibility"
High,MissingFields,"sec-12-risks - risks, legal, ratings-s01","Missing: chapter, pov, location","sec-12-risks - risks, legal, ratings"
High,MissingFields,sec-13-appendices - appendices-s01,"Missing: chapter, pov, location",sec-13-appendices - appendices
High,MissingFields,sec-14-qa - quality assurance test plan-s01,"Missing: chapter, pov, location",sec-14-qa - quality assurance test plan
High,MissingFields,diplomagic_gdd_combined-s01,"Missing: chapter, pov, location",diplomagic_gdd_combined
High,MissingFields,sec-01-front - front matter & executive summary-s01,"Missing: chapter, pov, location",sec-01-front - front matter & executive summary
High,MissingFields,sec-02-pillars - pillars & audience-s01,"Missing: chapter, pov, location",sec-02-pillars - pillars & audience
High,MissingFields,sec-03-narrative - narrative-s01,"Missing: chapter, pov, location",sec-03-narrative - narrative
High,MissingFields,sec-03_3.2_chapter_list_replace-s01,"Missing: chapter, pov, date, location",sec-03_3.2_chapter_list_replace
High,MissingFields,sec-04-loops - core gameplay loops-s01,"Missing: chapter, pov, location",sec-04-loops - core gameplay loops
High,MissingFields,sec-05-systems - systems & mechanics-s01,"Missing: chapter, pov, location",sec-05-systems - systems & mechanics
High,MissingFields,"sec-06-world - world, levels, & content-s01","Missing: chapter, pov, location","sec-06-world - world, levels, & content"
High,MissingFields,"sec-07-ui - ui-ux (devices, hud, menus)-s01","Missing: chapter, pov, location","sec-07-ui - ui-ux (devices, hud, menus)"
High,MissingFields,sec-08-artaudio - art direction & audio-s01,"Missing: chapter, pov, location",sec-08-artaudio - art direction & audio
High,MissingFields,sec-09-tech - technology & performance targets-s01,"Missing: chapter, pov, location",sec-09-tech - technology & performance targets
High,MissingFields,sec-10-production - production plan & milestones-s01,"Missing: chapter, pov, location",sec-10-production - production plan & milestones
High,MissingFields,"sec-11-qa - qa, localization, accessibility-s01","Missing: chapter, pov, location","sec-11-qa - qa, localization, accessibility"
High,MissingFields,"sec-12-risks - risks, legal, ratings-s01","Missing: chapter, pov, location","sec-12-risks - risks, legal, ratings"
High,MissingFields,sec-13-appendices - appendices-s01,"Missing: chapter, pov, location",sec-13-appendices - appendices
High,MissingFields,sec-14-qa - quality assurance test plan-s01,"Missing: chapter, pov, location",sec-14-qa - quality assurance test plan
High,MissingFields,diplomagic_gdd_combined-s01,"Missing: chapter, pov, location",diplomagic_gdd_combined
High,MissingFields,sec-01-front - front matter & executive summary-s01,"Missing: chapter, pov, location",sec-01-front - front matter & executive summary
High,MissingFields,sec-02-pillars - pillars & audience-s01,"Missing: chapter, pov, location",sec-02-pillars - pillars & audience
High,MissingFields,sec-03-narrative - narrative-s01,"Missing: chapter, pov, location",sec-03-narrative - narrative
High,MissingFields,sec-03_3.2_chapter_list_replace-s01,"Missing: chapter, pov, date, location",sec-03_3.2_chapter_list_replace
High,MissingFields,sec-04-loops - core gameplay loops-s01,"Missing: chapter, pov, location",sec-04-loops - core gameplay loops
High,MissingFields,sec-05-systems - systems & mechanics-s01,"Missing: chapter, pov, location",sec-05-systems - systems & mechanics
High,MissingFields,"sec-06-world - world, levels, & content-s01","Missing: chapter, pov, location","sec-06-world - world, levels, & content"
High,MissingFields,"sec-07-ui - ui-ux (devices, hud, menus)-s01","Missing: chapter, pov, location","sec-07-ui - ui-ux (devices, hud, menus)"
High,MissingFields,sec-08-artaudio - art direction & audio-s01,"Missing: chapter, pov, location",sec-08-artaudio - art direction & audio
High,MissingFields,sec-09-tech - technology & performance targets-s01,"Missing: chapter, pov, location",sec-09-tech - technology & performance targets
High,MissingFields,sec-10-production - production plan & milestones-s01,"Missing: chapter, pov, location",sec-10-production - production plan & milestones
High,MissingFields,"sec-11-qa - qa, localization, accessibility-s01","Missing: chapter, pov, location","sec-11-qa - qa, localization, accessibility"
High,MissingFields,"sec-12-risks - risks, legal, ratings-s01","Missing: chapter, pov, location","sec-12-risks - risks, legal, ratings"
High,MissingFields,sec-13-appendices - appendices-s01,"Missing: chapter, pov, location",sec-13-appendices - appendices
High,MissingFields,sec-14-qa - quality assurance test plan-s01,"Missing: chapter, pov, location",sec-14-qa - quality assurance test plan
High,MissingFields,diplomagic_gdd_combined-s01,"Missing: chapter, pov, location",diplomagic_gdd_combined
High,MissingFields,sec-01-front - front matter & executive summary-s01,"Missing: chapter, pov, location",sec-01-front - front matter & executive summary
High,MissingFields,sec-02-pillars - pillars & audience-s01,"Missing: chapter, pov, location",sec-02-pillars - pillars & audience
High,MissingFields,sec-03-narrative - narrative-s01,"Missing: chapter, pov, location",sec-03-narrative - narrative
High,MissingFields,sec-03_3.2_chapter_list_replace-s01,"Missing: chapter, pov, date, location",sec-03_3.2_chapter_list_replace
High,MissingFields,sec-04-loops - core gameplay loops-s01,"Missing: chapter, pov, location",sec-04-loops - core gameplay loops
High,MissingFields,sec-05-systems - systems & mechanics-s01,"Missing: chapter, pov, location",sec-05-systems - systems & mechanics
High,MissingFields,"sec-06-world - world, levels, & content-s01","Missing: chapter, pov, location","sec-06-world - world, levels, & content"
